Date,Description,Amount
06/03/2026,NETFLIX.COM 866-579-7172 CA,-15.49
06/05/2026,TRADER JOES #552,-80.12
06/10/2026,SHELL OIL 5741,-42.10
06/14/2026,SPOTIFY USA,-11.99
06/15/2026,Payroll deposit,2500.00
06/21/2026,PLANET FITNESS #1123,-24.99
07/03/2026,NETFLIX.COM 866-579-7172 CA,-15.49
07/05/2026,TRADER JOES #552,-35.00
07/09/2026,"ADOBE *CREATIVE CLD",-59.99
07/14/2026,SPOTIFY USA,-11.99
07/15/2026,Payroll deposit,2500.00
07/21/2026,PLANET FITNESS #1123,-24.99
07/28/2026,SHELL OIL 5741,-61.87
08/03/2026,NETFLIX.COM 866-579-7172 CA,-15.49
08/09/2026,"ADOBE *CREATIVE CLD",-59.99
08/12/2026,CHIPOTLE 2231,-13.45
08/14/2026,SPOTIFY USA,-11.99
08/15/2026,Payroll deposit,2500.00
08/21/2026,PLANET FITNESS #1123,-24.99
09/03/2026,NETFLIX.COM 866-579-7172 CA,-17.99
09/09/2026,"ADOBE *CREATIVE CLD",-59.99
09/14/2026,SPOTIFY USA,-11.99
